Accepted_Annotations,Annotation_Count,Annotation_Is_Verified,Classification,Comment_Count,Featured_Video,Followers,Genius_IQ,Hot,Is_Description,Is_Verified,Length_Referent_Text,Meme_Verified,Number_Contributors,Number_Verified_Annotations,Page_Views,Pinned,Pyong_Count,Release_Date,Total_Votes
54,58,FALSE,accepted,0,FALSE,693,?,FALSE,FALSE,FALSE,189,FALSE,111,0,77481,FALSE,31,5353,1
26,35,FALSE,unreviewed,0,FALSE,598,?,FALSE,FALSE,FALSE,43,FALSE,32,0,47306,FALSE,23,2234,0
18,19,FALSE,accepted,0,FALSE,8610,?,FALSE,FALSE,FALSE,34,FALSE,156,0,1385859,FALSE,89,826,25
24,27,FALSE,accepted,0,FALSE,693,?,FALSE,FALSE,FALSE,8,FALSE,55,0,58072,FALSE,12,7173,6
29,32,FALSE,accepted,0,TRUE,17568,144243,FALSE,FALSE,TRUE,38,TRUE,175,0,990612,FALSE,273,3204,12
37,40,FALSE,accepted,0,FALSE,693,?,FALSE,FALSE,FALSE,35,FALSE,96,1,253453,FALSE,33,7936,3
19,20,FALSE,accepted,0,TRUE,2503,1124,FALSE,FALSE,TRUE,103,TRUE,45,0,273854,FALSE,10,699,16
36,40,FALSE,accepted,0,TRUE,21495,34478,FALSE,FALSE,TRUE,78,TRUE,363,3,4131701,FALSE,623,2036,54
55,62,FALSE,accepted,0,TRUE,8610,?,FALSE,FALSE,FALSE,37,FALSE,226,4,1891346,FALSE,94,2074,23
33,41,FALSE,accepted,0,TRUE,8610,?,FALSE,FALSE,FALSE,53,FALSE,207,7,1930333,FALSE,90,566,0
20,24,FALSE,accepted,0,TRUE,17568,144243,FALSE,FALSE,TRUE,17,TRUE,191,3,1147870,FALSE,203,2841,19
20,29,FALSE,unreviewed,2,FALSE,419,?,FALSE,FALSE,FALSE,111,FALSE,66,0,55588,FALSE,3,9854,4
25,26,FALSE,accepted,1,FALSE,8610,?,FALSE,FALSE,FALSE,47,FALSE,239,0,1480434,FALSE,207,2914,9
7,8,FALSE,accepted,0,TRUE,693,?,FALSE,FALSE,FALSE,48,FALSE,43,0,74911,FALSE,30,3594,1
106,107,FALSE,accepted,0,FALSE,17568,144243,FALSE,FALSE,TRUE,26,TRUE,536,0,1719362,FALSE,521,1657,67
18,22,FALSE,unreviewed,2,TRUE,17568,144243,FALSE,FALSE,TRUE,170,TRUE,172,0,828968,FALSE,227,2528,17
16,19,FALSE,accepted,0,TRUE,21495,34478,FALSE,FALSE,TRUE,6,TRUE,100,0,1376561,FALSE,138,1705,32
98,101,FALSE,accepted,5,FALSE,21495,34478,FALSE,FALSE,TRUE,142,TRUE,552,2,2049199,FALSE,111,2036,32
14,27,FALSE,unreviewed,1,FALSE,419,?,FALSE,FALSE,FALSE,48,FALSE,58,0,93873,FALSE,13,10415,1
