Annotation_Is_Verified,Classification,Comment_Count,Featured_Video,Followers,Is_Verified,Length_Referent_Text,Number_Verified_Annotations,Pinned,Class
FALSE,accepted,0,FALSE,693,FALSE,189,0,FALSE,low
FALSE,unreviewed,0,FALSE,598,FALSE,43,0,FALSE,low
FALSE,accepted,0,FALSE,8610,FALSE,34,0,FALSE,high
FALSE,accepted,0,FALSE,693,FALSE,8,0,FALSE,low
FALSE,accepted,0,TRUE,17568,TRUE,38,0,FALSE,high
FALSE,accepted,0,FALSE,693,FALSE,35,1,FALSE,low
FALSE,accepted,0,TRUE,2503,TRUE,103,0,FALSE,high
FALSE,accepted,0,TRUE,21495,TRUE,78,3,FALSE,high
FALSE,accepted,0,TRUE,8610,FALSE,37,4,FALSE,high
FALSE,accepted,0,TRUE,8610,FALSE,53,7,FALSE,low
FALSE,accepted,0,TRUE,17568,TRUE,17,3,FALSE,high
FALSE,unreviewed,2,FALSE,419,FALSE,111,0,FALSE,low
FALSE,accepted,1,FALSE,8610,FALSE,47,0,FALSE,low
FALSE,accepted,0,TRUE,693,FALSE,48,0,FALSE,low
FALSE,accepted,0,FALSE,17568,TRUE,26,0,FALSE,high
FALSE,unreviewed,2,TRUE,17568,TRUE,170,0,FALSE,high
FALSE,accepted,0,TRUE,21495,TRUE,6,0,FALSE,high
FALSE,accepted,5,FALSE,21495,TRUE,142,2,FALSE,high
FALSE,unreviewed,1,FALSE,419,FALSE,48,0,FALSE,low
FALSE,accepted,0,FALSE,2660,FALSE,56,1,FALSE,low
FALSE,accepted,3,TRUE,17568,TRUE,15,0,FALSE,high
FALSE,accepted,0,FALSE,21495,TRUE,25,0,FALSE,high
FALSE,accepted,0,FALSE,598,FALSE,47,0,FALSE,low
FALSE,accepted,0,TRUE,21495,TRUE,59,0,FALSE,low
FALSE,accepted,0,TRUE,10964,FALSE,44,0,FALSE,high
FALSE,accepted,2,FALSE,21495,TRUE,53,1,FALSE,high
FALSE,unreviewed,1,TRUE,38,FALSE,52,0,FALSE,low
FALSE,accepted,0,FALSE,2660,FALSE,19,0,FALSE,low
FALSE,accepted,3,TRUE,21495,TRUE,141,0,FALSE,low
FALSE,accepted,3,FALSE,21495,TRUE,79,2,FALSE,high
FALSE,accepted,0,FALSE,598,FALSE,44,0,FALSE,low
FALSE,accepted,0,FALSE,2503,TRUE,154,0,FALSE,low
FALSE,accepted,0,FALSE,10964,FALSE,168,2,FALSE,high
FALSE,accepted,0,FALSE,693,FALSE,37,0,FALSE,high
FALSE,accepted,0,TRUE,21495,TRUE,14,0,FALSE,high
FALSE,accepted,0,FALSE,2503,TRUE,25,0,FALSE,high
FALSE,accepted,2,TRUE,2660,FALSE,40,0,FALSE,high
FALSE,accepted,0,FALSE,2660,FALSE,81,0,FALSE,low
FALSE,accepted,0,TRUE,21495,TRUE,70,0,FALSE,high
FALSE,unreviewed,0,FALSE,419,FALSE,93,0,FALSE,low
FALSE,accepted,0,FALSE,693,FALSE,41,0,FALSE,low
FALSE,unreviewed,0,FALSE,598,FALSE,64,0,FALSE,low
FALSE,accepted,3,FALSE,21495,TRUE,114,0,FALSE,low
FALSE,accepted,2,FALSE,8610,FALSE,81,0,FALSE,high
FALSE,accepted,0,FALSE,2503,TRUE,51,0,FALSE,low
FALSE,accepted,0,FALSE,2503,TRUE,37,0,FALSE,low
FALSE,accepted,0,TRUE,8610,FALSE,25,0,FALSE,high
FALSE,accepted,1,TRUE,693,FALSE,75,0,FALSE,low
FALSE,accepted,1,TRUE,17568,TRUE,124,0,FALSE,high
TRUE,verified,0,TRUE,8610,FALSE,64,2,TRUE,high
FALSE,accepted,0,FALSE,419,FALSE,7,0,FALSE,low
FALSE,accepted,0,FALSE,10964,FALSE,31,0,FALSE,high
FALSE,accepted,0,TRUE,8610,FALSE,46,6,FALSE,high
TRUE,verified,18,TRUE,10964,FALSE,71,3,TRUE,high
FALSE,unreviewed,0,FALSE,419,FALSE,86,0,FALSE,low
FALSE,accepted,0,FALSE,419,FALSE,41,0,FALSE,low
FALSE,accepted,0,FALSE,2503,TRUE,100,0,FALSE,low
FALSE,unreviewed,1,FALSE,598,FALSE,77,0,FALSE,low
FALSE,accepted,0,FALSE,2660,FALSE,109,0,FALSE,high
FALSE,accepted,0,FALSE,21495,TRUE,61,0,FALSE,high
TRUE,verified,20,TRUE,21495,TRUE,82,3,TRUE,high
FALSE,accepted,0,TRUE,693,FALSE,72,0,FALSE,low
FALSE,accepted,0,FALSE,693,FALSE,37,0,FALSE,low
FALSE,unreviewed,0,FALSE,38,FALSE,22,0,FALSE,low
FALSE,accepted,0,FALSE,2660,FALSE,18,0,FALSE,high
FALSE,accepted,0,TRUE,10964,FALSE,134,0,FALSE,high
FALSE,unreviewed,0,TRUE,2660,FALSE,80,0,FALSE,low
FALSE,accepted,0,TRUE,8610,FALSE,47,0,FALSE,low
FALSE,accepted,0,FALSE,8610,FALSE,192,0,FALSE,high
FALSE,accepted,1,FALSE,2503,TRUE,100,0,FALSE,low
FALSE,accepted,0,FALSE,8610,FALSE,144,0,FALSE,high
FALSE,accepted,1,FALSE,21495,TRUE,65,0,FALSE,high
FALSE,accepted,0,FALSE,8610,FALSE,31,0,FALSE,high
FALSE,accepted,0,FALSE,598,FALSE,22,0,FALSE,low
FALSE,accepted,2,TRUE,21495,TRUE,169,0,FALSE,high
FALSE,accepted,0,FALSE,419,FALSE,34,0,FALSE,low
FALSE,accepted,0,TRUE,21495,TRUE,58,0,FALSE,high
FALSE,accepted,0,FALSE,10964,FALSE,49,0,FALSE,low
FALSE,accepted,0,FALSE,693,FALSE,6,0,FALSE,high
FALSE,accepted,1,TRUE,21495,TRUE,22,0,FALSE,high
FALSE,accepted,0,TRUE,10964,FALSE,28,0,FALSE,low
FALSE,accepted,0,FALSE,21495,TRUE,82,1,FALSE,high
FALSE,accepted,1,FALSE,2503,TRUE,28,0,FALSE,low
FALSE,accepted,0,FALSE,8610,FALSE,170,0,FALSE,high
FALSE,accepted,1,FALSE,8610,FALSE,22,0,FALSE,high
FALSE,unreviewed,0,FALSE,419,FALSE,30,0,FALSE,low
FALSE,accepted,0,FALSE,2660,FALSE,56,0,FALSE,low
FALSE,accepted,1,FALSE,8610,FALSE,121,1,FALSE,high
FALSE,unreviewed,0,TRUE,419,FALSE,147,0,FALSE,low
FALSE,accepted,3,FALSE,2660,FALSE,80,0,FALSE,high
FALSE,accepted,0,FALSE,10964,FALSE,70,0,FALSE,low
FALSE,accepted,0,FALSE,10964,FALSE,73,2,FALSE,high
TRUE,verified,21,FALSE,21495,TRUE,62,2,TRUE,high
FALSE,accepted,0,FALSE,21495,TRUE,80,1,FALSE,high
FALSE,accepted,0,TRUE,598,FALSE,110,0,FALSE,low
FALSE,accepted,4,FALSE,21495,TRUE,147,1,FALSE,high
FALSE,accepted,0,FALSE,419,FALSE,118,0,FALSE,low
FALSE,unreviewed,0,FALSE,419,FALSE,143,0,FALSE,low
FALSE,accepted,1,FALSE,8610,FALSE,96,0,FALSE,high
FALSE,accepted,0,FALSE,2503,TRUE,44,0,FALSE,low
FALSE,accepted,0,FALSE,21495,TRUE,29,3,FALSE,high
FALSE,accepted,0,FALSE,2503,TRUE,50,0,FALSE,low
FALSE,accepted,1,FALSE,8610,FALSE,27,1,FALSE,high
FALSE,unreviewed,0,FALSE,419,FALSE,67,0,FALSE,low
FALSE,accepted,0,FALSE,598,FALSE,222,0,FALSE,high
FALSE,accepted,0,FALSE,419,FALSE,34,0,FALSE,low
FALSE,unreviewed,0,FALSE,598,FALSE,51,0,FALSE,low
FALSE,accepted,0,FALSE,8610,FALSE,107,0,FALSE,high
FALSE,unreviewed,0,FALSE,38,FALSE,41,0,FALSE,low
FALSE,unreviewed,3,FALSE,598,FALSE,162,0,FALSE,low
FALSE,unreviewed,0,FALSE,598,FALSE,42,0,FALSE,low
FALSE,accepted,0,TRUE,2503,TRUE,35,0,FALSE,low
