Annotation_Is_Verified,Classification,Comment_Count,Featured_Video,Is_Verified,Length_Referent_Text,Number_Verified_Annotations,Pinned,Total_Votes_log
FALSE,accepted,0,FALSE,FALSE,189,0,FALSE,0
FALSE,unreviewed,0,FALSE,FALSE,43,0,FALSE,0
FALSE,accepted,0,FALSE,FALSE,34,0,FALSE,1.397940009
FALSE,accepted,0,FALSE,FALSE,8,0,FALSE,0.77815125
FALSE,accepted,0,TRUE,TRUE,38,0,FALSE,1.079181246
FALSE,accepted,0,FALSE,FALSE,35,1,FALSE,0.477121255
FALSE,accepted,0,TRUE,TRUE,103,0,FALSE,1.204119983
FALSE,accepted,0,TRUE,TRUE,78,3,FALSE,1.73239376
FALSE,accepted,0,TRUE,FALSE,37,4,FALSE,1.361727836
FALSE,accepted,0,TRUE,FALSE,53,7,FALSE,0
FALSE,accepted,0,TRUE,TRUE,17,3,FALSE,1.278753601
FALSE,unreviewed,2,FALSE,FALSE,111,0,FALSE,0.602059991
FALSE,accepted,1,FALSE,FALSE,47,0,FALSE,0.954242509
FALSE,accepted,0,TRUE,FALSE,48,0,FALSE,0
FALSE,accepted,0,FALSE,TRUE,26,0,FALSE,1.826074803
FALSE,unreviewed,2,TRUE,TRUE,170,0,FALSE,1.230448921
FALSE,accepted,0,TRUE,TRUE,6,0,FALSE,1.505149978
FALSE,accepted,5,FALSE,TRUE,142,2,FALSE,1.505149978
FALSE,unreviewed,1,FALSE,FALSE,48,0,FALSE,0
FALSE,accepted,0,FALSE,FALSE,56,1,FALSE,0.301029996
FALSE,accepted,3,TRUE,TRUE,15,0,FALSE,2.338456494
FALSE,accepted,0,FALSE,TRUE,25,0,FALSE,1.886490725
FALSE,accepted,0,FALSE,FALSE,47,0,FALSE,0
FALSE,accepted,0,TRUE,TRUE,59,0,FALSE,0
FALSE,accepted,0,TRUE,FALSE,44,0,FALSE,1.041392685
FALSE,accepted,2,FALSE,TRUE,53,1,FALSE,2.033423755
FALSE,unreviewed,1,TRUE,FALSE,52,0,FALSE,0
FALSE,accepted,0,FALSE,FALSE,19,0,FALSE,1
FALSE,accepted,3,TRUE,TRUE,141,0,FALSE,0.77815125
FALSE,accepted,3,FALSE,TRUE,79,2,FALSE,1.544068044
FALSE,accepted,0,FALSE,FALSE,44,0,FALSE,0
FALSE,accepted,0,FALSE,TRUE,154,0,FALSE,1
FALSE,accepted,0,FALSE,FALSE,168,2,FALSE,1.491361694
FALSE,accepted,0,FALSE,FALSE,37,0,FALSE,1.146128036
FALSE,accepted,0,TRUE,TRUE,14,0,FALSE,1.838849091
FALSE,accepted,0,FALSE,TRUE,25,0,FALSE,1.041392685
FALSE,accepted,2,TRUE,FALSE,40,0,FALSE,1.361727836
FALSE,accepted,0,FALSE,FALSE,81,0,FALSE,0
FALSE,accepted,0,TRUE,TRUE,70,0,FALSE,1.591064607
FALSE,unreviewed,0,FALSE,FALSE,93,0,FALSE,0
FALSE,accepted,0,FALSE,FALSE,41,0,FALSE,0.477121255
FALSE,unreviewed,0,FALSE,FALSE,64,0,FALSE,0
FALSE,accepted,3,FALSE,TRUE,114,0,FALSE,0.903089987
FALSE,accepted,2,FALSE,FALSE,81,0,FALSE,1.792391689
FALSE,accepted,0,FALSE,TRUE,51,0,FALSE,0.477121255
FALSE,accepted,0,FALSE,TRUE,37,0,FALSE,0.477121255
FALSE,accepted,0,TRUE,FALSE,25,0,FALSE,1.556302501
FALSE,accepted,1,TRUE,FALSE,75,0,FALSE,0.602059991
FALSE,accepted,1,TRUE,TRUE,124,0,FALSE,1.643452676
TRUE,verified,0,TRUE,FALSE,64,2,TRUE,2.136720567
FALSE,accepted,0,FALSE,FALSE,7,0,FALSE,0.477121255
FALSE,accepted,0,FALSE,FALSE,31,0,FALSE,1.113943352
FALSE,accepted,0,TRUE,FALSE,46,6,FALSE,1.176091259
TRUE,verified,18,TRUE,FALSE,71,3,TRUE,2.712649702
FALSE,unreviewed,0,FALSE,FALSE,86,0,FALSE,0
FALSE,accepted,0,FALSE,FALSE,41,0,FALSE,0.301029996
FALSE,accepted,0,FALSE,TRUE,100,0,FALSE,0.602059991
FALSE,unreviewed,1,FALSE,FALSE,77,0,FALSE,0.477121255
FALSE,accepted,0,FALSE,FALSE,109,0,FALSE,1.397940009
FALSE,accepted,0,FALSE,TRUE,61,0,FALSE,1.612783857
