Accepted_Annotations,Annotation_Count,Comment_Count,Followers,Length_Referent_Text,Number_Contributors,Number_Verified_Annotations,Page_Views,Pyong_Count,Release_Date
54,58,0,693,189,111,0,77481,31,5353
26,35,0,598,43,32,0,47306,23,2234
18,19,0,8610,34,156,0,1385859,89,826
24,27,0,693,8,55,0,5,12,7173
29,32,0,17568,38,175,0,990612,273,3204
37,40,0,693,35,96,1,253453,33,7936
19,20,0,2503,103,45,0,273854,10,699
36,40,0,21495,78,363,3,4131701,623,2036
55,62,0,8610,37,226,4,1891346,94,2074
33,41,0,8610,53,207,7,1930333,90,566
20,24,0,17568,17,191,3,1147870,203,2841
20,29,2,419,111,66,0,55588,3,9854
25,26,1,8610,47,239,0,1480434,207,2914
7,8,0,693,48,43,0,74911,30,3594
106,107,0,17568,26,536,0,1719362,521,1657
18,22,2,17568,170,172,0,828968,227,2528
16,19,0,21495,6,100,0,1376561,138,1705
98,101,5,21495,142,552,2,2049199,111,2036
14,27,1,419,48,58,0,93873,13,10415
39,47,0,2660,56,231,1,1028013,143,7768
53,55,3,17568,15,322,0,1121576,254,2784
36,37,0,21495,25,508,0,4526124,507,401
3,4,0,598,47,18,0,37939,46,4310
59,62,0,21495,59,453,0,1377723,100,401
45,46,0,10964,44,191,0,2798227,1397,1207
22,24,2,21495,53,366,1,2267806,211,401
5,20,1,38,52,6,0,1382475,9,1115
34,35,0,2660,19,80,0,243325,28,8020
13,15,3,21495,141,159,0,1329333,136,136
134,137,3,21495,79,714,2,4168155,573,1742
8,14,0,598,44,24,0,36887,42,7089
57,58,0,2503,154,157,0,183015,19,611
66,69,0,10964,168,306,2,2875478,342,1699
22,24,0,693,37,62,0,58154,8,7936
66,67,0,21495,14,246,0,2418330,820,1545
50,57,0,2503,25,88,0,188652,27,1986
22,27,2,2660,40,158,0,1163069,159,8970
32,35,0,2660,81,85,0,276104,35,7866
17,18,0,21495,70,319,0,3190791,366,625
21,26,0,419,93,27,0,24461,1,9854
17,18,0,693,41,53,0,66937,10,7173
10,16,0,598,64,28,0,36933,47,7089
29,30,3,21495,114,356,0,4016170,162,401
24,25,2,8610,81,175,0,1691176,204,863
66,67,0,2503,51,117,0,275989,163,1434
44,46,0,2503,37,76,0,158330,11,1986
40,46,0,8610,25,335,0,3428303,174,2082
30,32,1,693,75,70,0,233864,72,6277
40,42,1,17568,124,243,0,1365257,610,1565
33,36,0,8610,64,335,2,5070070,372,2441
14,23,0,419,7,34,0,27247,6,9854
42,43,0,10964,31,195,0,3081814,165,2378
62,69,0,8610,46,372,6,6159849,319,2238
47,51,18,10964,71,346,3,3910160,380,2036
39,49,0,419,86,193,0,1708934,146,10876
55,66,0,419,41,50,0,49068,6,10877
57,58,0,2503,100,157,0,183015,19,611
6,12,1,598,77,58,0,200216,107,7320
55,56,0,2660,109,370,0,1318014,525,1162
38,39,0,21495,61,262,0,1497028,996,1175
36,40,20,21495,82,363,3,4131701,623,2036
39,40,0,693,72,83,0,173703,34,7985
15,18,0,693,37,39,0,75496,17,5353
0,7,0,38,22,9,0,5594,3,754
27,29,0,2660,18,142,0,589526,94,8179
45,46,0,10964,134,191,0,2798227,1397,1207
10,16,0,2660,80,75,0,310739,40,9110
37,38,0,8610,47,200,0,3050327,2699,1346
53,54,0,8610,192,315,0,1536371,192,853
