Annotation_Is_Verified,Classification,Comment_Count,Featured_Video,Is_Verified,Length_Referent_Text,Number_Verified_Annotations,Pinned,Total_Votes
FALSE,accepted,0,FALSE,FALSE,189,0,FALSE,1
FALSE,unreviewed,0,FALSE,FALSE,43,0,FALSE,0
FALSE,accepted,0,FALSE,FALSE,34,0,FALSE,25
FALSE,accepted,0,FALSE,FALSE,8,0,FALSE,6
FALSE,accepted,0,TRUE,TRUE,38,0,FALSE,12
FALSE,accepted,0,FALSE,FALSE,35,1,FALSE,3
FALSE,accepted,0,TRUE,TRUE,103,0,FALSE,16
FALSE,accepted,0,TRUE,TRUE,78,3,FALSE,54
FALSE,accepted,0,TRUE,FALSE,37,4,FALSE,23
FALSE,accepted,0,TRUE,FALSE,53,7,FALSE,0
FALSE,accepted,0,TRUE,TRUE,17,3,FALSE,19
FALSE,unreviewed,2,FALSE,FALSE,111,0,FALSE,4
FALSE,accepted,1,FALSE,FALSE,47,0,FALSE,9
FALSE,accepted,0,TRUE,FALSE,48,0,FALSE,1
FALSE,accepted,0,FALSE,TRUE,26,0,FALSE,67
FALSE,unreviewed,2,TRUE,TRUE,170,0,FALSE,17
FALSE,accepted,0,TRUE,TRUE,6,0,FALSE,32
FALSE,accepted,5,FALSE,TRUE,142,2,FALSE,32
FALSE,unreviewed,1,FALSE,FALSE,48,0,FALSE,1
FALSE,accepted,0,FALSE,FALSE,56,1,FALSE,2
FALSE,accepted,3,TRUE,TRUE,15,0,FALSE,218
FALSE,accepted,0,FALSE,TRUE,25,0,FALSE,77
FALSE,accepted,0,FALSE,FALSE,47,0,FALSE,1
FALSE,accepted,0,TRUE,TRUE,59,0,FALSE,1
FALSE,accepted,0,TRUE,FALSE,44,0,FALSE,11
FALSE,accepted,2,FALSE,TRUE,53,1,FALSE,108
FALSE,unreviewed,1,TRUE,FALSE,52,0,FALSE,1
FALSE,accepted,0,FALSE,FALSE,19,0,FALSE,10
FALSE,accepted,3,TRUE,TRUE,141,0,FALSE,6
FALSE,accepted,3,FALSE,TRUE,79,2,FALSE,35
FALSE,accepted,0,FALSE,FALSE,44,0,FALSE,0
FALSE,accepted,0,FALSE,TRUE,154,0,FALSE,10
FALSE,accepted,0,FALSE,FALSE,168,2,FALSE,31
FALSE,accepted,0,FALSE,FALSE,37,0,FALSE,14
FALSE,accepted,0,TRUE,TRUE,14,0,FALSE,69
FALSE,accepted,0,FALSE,TRUE,25,0,FALSE,11
FALSE,accepted,2,TRUE,FALSE,40,0,FALSE,23
FALSE,accepted,0,FALSE,FALSE,81,0,FALSE,0
FALSE,accepted,0,TRUE,TRUE,70,0,FALSE,39
FALSE,unreviewed,0,FALSE,FALSE,93,0,FALSE,1
FALSE,accepted,0,FALSE,FALSE,41,0,FALSE,3
FALSE,unreviewed,0,FALSE,FALSE,64,0,FALSE,0
FALSE,accepted,3,FALSE,TRUE,114,0,FALSE,8
FALSE,accepted,2,FALSE,FALSE,81,0,FALSE,62
FALSE,accepted,0,FALSE,TRUE,51,0,FALSE,3
FALSE,accepted,0,FALSE,TRUE,37,0,FALSE,3
FALSE,accepted,0,TRUE,FALSE,25,0,FALSE,36
FALSE,accepted,1,TRUE,FALSE,75,0,FALSE,4
FALSE,accepted,1,TRUE,TRUE,124,0,FALSE,44
TRUE,verified,0,TRUE,FALSE,64,2,TRUE,137
FALSE,accepted,0,FALSE,FALSE,7,0,FALSE,3
FALSE,accepted,0,FALSE,FALSE,31,0,FALSE,13
FALSE,accepted,0,TRUE,FALSE,46,6,FALSE,15
TRUE,verified,18,TRUE,FALSE,71,3,TRUE,516
FALSE,unreviewed,0,FALSE,FALSE,86,0,FALSE,0
FALSE,accepted,0,FALSE,FALSE,41,0,FALSE,2
FALSE,accepted,0,FALSE,TRUE,100,0,FALSE,4
FALSE,unreviewed,1,FALSE,FALSE,77,0,FALSE,3
FALSE,accepted,0,FALSE,FALSE,109,0,FALSE,25
FALSE,accepted,0,FALSE,TRUE,61,0,FALSE,41
TRUE,verified,20,TRUE,TRUE,82,3,TRUE,504
FALSE,accepted,0,TRUE,FALSE,72,0,FALSE,5
FALSE,accepted,0,FALSE,FALSE,37,0,FALSE,2
FALSE,unreviewed,0,FALSE,FALSE,22,0,FALSE,0
FALSE,accepted,0,FALSE,FALSE,18,0,FALSE,28
FALSE,accepted,0,TRUE,FALSE,134,0,FALSE,14
FALSE,unreviewed,0,TRUE,FALSE,80,0,FALSE,1
FALSE,accepted,0,TRUE,FALSE,47,0,FALSE,10
FALSE,accepted,0,FALSE,FALSE,192,0,FALSE,65
FALSE,accepted,1,FALSE,TRUE,100,0,FALSE,1
FALSE,accepted,0,FALSE,FALSE,144,0,FALSE,68
FALSE,accepted,1,FALSE,TRUE,65,0,FALSE,18
FALSE,accepted,0,FALSE,FALSE,31,0,FALSE,48
FALSE,accepted,0,FALSE,FALSE,22,0,FALSE,1
FALSE,accepted,2,TRUE,TRUE,169,0,FALSE,69
FALSE,accepted,0,FALSE,FALSE,34,0,FALSE,3
FALSE,accepted,0,TRUE,TRUE,58,0,FALSE,107
FALSE,accepted,0,FALSE,FALSE,49,0,FALSE,8
FALSE,accepted,0,FALSE,FALSE,6,0,FALSE,12
FALSE,accepted,1,TRUE,TRUE,22,0,FALSE,21
FALSE,accepted,0,TRUE,FALSE,28,0,FALSE,8
FALSE,accepted,0,FALSE,TRUE,82,1,FALSE,89
FALSE,accepted,1,FALSE,TRUE,28,0,FALSE,-1
FALSE,accepted,0,FALSE,FALSE,170,0,FALSE,43
FALSE,accepted,1,FALSE,FALSE,22,0,FALSE,274
FALSE,unreviewed,0,FALSE,FALSE,30,0,FALSE,2
FALSE,accepted,0,FALSE,FALSE,56,0,FALSE,9
FALSE,accepted,1,FALSE,FALSE,121,1,FALSE,21
FALSE,unreviewed,0,TRUE,FALSE,147,0,FALSE,0
FALSE,accepted,3,FALSE,FALSE,80,0,FALSE,42
FALSE,accepted,0,FALSE,FALSE,70,0,FALSE,5
FALSE,accepted,0,FALSE,FALSE,73,2,FALSE,27
TRUE,verified,21,FALSE,TRUE,62,2,TRUE,559
FALSE,accepted,0,FALSE,TRUE,80,1,FALSE,169
FALSE,accepted,0,TRUE,FALSE,110,0,FALSE,3
FALSE,accepted,4,FALSE,TRUE,147,1,FALSE,100
FALSE,accepted,0,FALSE,FALSE,118,0,FALSE,10
FALSE,unreviewed,0,FALSE,FALSE,143,0,FALSE,2
FALSE,accepted,1,FALSE,FALSE,96,0,FALSE,90
FALSE,accepted,0,FALSE,TRUE,44,0,FALSE,2
FALSE,accepted,0,FALSE,TRUE,29,3,FALSE,33
FALSE,accepted,0,FALSE,TRUE,50,0,FALSE,0
FALSE,accepted,1,FALSE,FALSE,27,1,FALSE,47
FALSE,unreviewed,0,FALSE,FALSE,67,0,FALSE,5
FALSE,accepted,0,FALSE,FALSE,222,0,FALSE,70
FALSE,accepted,0,FALSE,FALSE,34,0,FALSE,6
FALSE,unreviewed,0,FALSE,FALSE,51,0,FALSE,0
FALSE,accepted,0,FALSE,FALSE,107,0,FALSE,49
