,Accepted_Annotations,Annotation_Count,Annotation_Is_Verified,Artist,Classification,Comment_Count,Featured_Video,Followers,Genius_IQ,Hot,Is_Description,Is_Verified,Length_Referent_Text,Meme_Verified,Number_Contributors,Number_Verified_Annotations,Page_Views,Pinned,Pyong_Count,Referent_ID,Release_Date,Song_Title,Total_Votes
0,94,104,False,2Pac,unreviewed,0,True,2660,?,False,False,False,58,False,294,0,2015929,False,338,13977012,8020,Hit 'Em Up by 2Pac (Ft. Outlawz),0
1,94,104,False,2Pac,unreviewed,0,True,2660,?,False,False,False,43,False,294,0,2015929,False,338,13976984,8020,Hit 'Em Up by 2Pac (Ft. Outlawz),0
2,94,104,False,2Pac,unreviewed,1,True,2660,?,False,False,False,39,False,294,0,2015929,False,338,379233,8020,Hit 'Em Up by 2Pac (Ft. Outlawz),0
3,94,104,False,2Pac,accepted,1,True,2660,?,False,False,False,54,False,294,0,2015929,False,338,11155900,8020,Hit 'Em Up by 2Pac (Ft. Outlawz),5
4,94,104,False,2Pac,accepted,0,True,2660,?,False,False,False,42,False,294,0,2015929,False,338,11155839,8020,Hit 'Em Up by 2Pac (Ft. Outlawz),7
5,94,104,False,2Pac,accepted,0,True,2660,?,False,False,False,50,False,294,0,2015929,False,338,11155821,8020,Hit 'Em Up by 2Pac (Ft. Outlawz),6
6,94,104,False,2Pac,accepted,1,True,2660,?,False,False,False,27,False,294,0,2015929,False,338,7742973,8020,Hit 'Em Up by 2Pac (Ft. Outlawz),6
7,94,104,False,2Pac,accepted,0,True,2660,?,False,False,False,14,False,294,0,2015929,False,338,4352943,8020,Hit 'Em Up by 2Pac (Ft. Outlawz),9
8,94,104,False,2Pac,accepted,0,True,2660,?,False,False,False,40,False,294,0,2015929,False,338,3999767,8020,Hit 'Em Up by 2Pac (Ft. Outlawz),15
9,94,104,False,2Pac,accepted,2,True,2660,?,False,False,False,38,False,294,0,2015929,False,338,3999766,8020,Hit 'Em Up by 2Pac (Ft. Outlawz),5
10,55,56,False,2Pac,accepted,0,False,2660,?,False,False,False,435,False,370,0,1318014,False,525,7907075,1162,Mortal Man by Kendrick Lamar,51
11,55,56,False,2Pac,accepted,0,False,2660,?,False,False,False,109,False,370,0,1318014,False,525,6915381,1162,Mortal Man by Kendrick Lamar,25
12,55,56,False,2Pac,accepted,1,False,2660,?,False,False,False,71,False,370,0,1318014,False,525,5052245,1162,Mortal Man by Kendrick Lamar,38
13,55,56,False,2Pac,accepted,4,False,2660,?,False,False,False,256,False,370,0,1318014,False,525,5050753,1162,Mortal Man by Kendrick Lamar,40
14,55,56,False,2Pac,accepted,1,False,2660,?,False,False,False,176,False,370,0,1318014,False,525,5050562,1162,Mortal Man by Kendrick Lamar,30
15,55,56,False,2Pac,accepted,1,False,2660,?,False,False,False,71,False,370,0,1318014,False,525,5050284,1162,Mortal Man by Kendrick Lamar,37
16,55,56,False,2Pac,accepted,0,False,2660,?,False,False,False,22,False,370,0,1318014,False,525,5050271,1162,Mortal Man by Kendrick Lamar,50
17,55,56,False,2Pac,accepted,1,False,2660,?,False,False,False,126,False,370,0,1318014,False,525,5050248,1162,Mortal Man by Kendrick Lamar,40
18,55,56,False,2Pac,accepted,1,False,2660,?,False,False,False,147,False,370,0,1318014,False,525,5050100,1162,Mortal Man by Kendrick Lamar,37
19,55,56,False,2Pac,accepted,12,False,2660,?,False,False,False,156,False,370,0,1318014,False,525,5049211,1162,Mortal Man by Kendrick Lamar,105
